person,position,start,end,prev,next,ps
Q2472224,Q19305384,2017-09-12,2019-06-11,,,statement/Q2472224-6BAB2A65-F9A3-455E-A987-3E0DF5AED5C8
Q2483774,Q19305384,2007-06-12,2019-06-11,,,statement/Q2483774-ADD2312A-6590-423A-AE72-BD7B285D29DB
Q2499321,Q19305384,1981-08-25,2003-06-10,,,statement/Q2499321-A13C4E06-A1DA-4CC1-BD09-459FAE293DF9
Q2529406,Q19305384,2011-06-07,,,,statement/Q2529406-C5D2A814-4E75-4764-AF31-2E9966090E19
Q2530306,Q19305384,1995-06-13,2000-04-01,,,statement/Q2530306-1EF9DF91-EC22-4F9B-B1CB-4CABBC474686
Q2538175,Q19305384,1999-06-08,2015-06-09,,,statement/Q2538175-E9082085-A247-4ED7-BD23-52EA95049CF6
Q2544179,Q19305384,2011-06-07,2015-06-09,,,statement/Q2544179-395255AC-4B88-4A3E-A5BC-0AA085DA7299
Q2544179,Q19305384,2015-11-10,2016-07-12,,,statement/Q2544179-4da76e9c-4bc5-04d5-4ecb-22aa50ed42f4
Q2553131,Q19305384,2007-06-12,2011-06-07,,,statement/Q2553131-DD542978-AA35-4541-8608-8E4433F934C4
Q2568439,Q19305384,1991-06-11,2002-05-15,,,statement/Q2568439-4F3F4C84-E708-490F-B058-465BBFEFD148
Q2568610,Q19305384,2005-05-10,2007-06-12,,,statement/Q2568610-36972E25-6A6B-4BE1-9D74-17A2F599F41E
Q2570804,Q19305384,2007-06-12,2011-06-07,,,statement/Q2570804-3F437C59-B95D-41EB-99B3-FA14C6574E9D
Q2574692,Q19305384,2003-06-10,2011-06-07,,,statement/Q2574692-519B97BC-FB76-41D4-BFC3-4331F6D28E51
Q2578501,Q19305384,2003-06-10,2013-06-15,,,statement/Q2578501-C9D4A165-38EE-4B0E-9B9A-93851A4E39D1
Q2578501,Q19305384,2003-06-11,2013-06-15,,,statement/Q2578501-C9D4A165-38EE-4B0E-9B9A-93851A4E39D1
Q2580847,Q19305384,1995-01-10,2011-06-07,,,statement/Q2580847-2D24110C-3DB0-4D41-8BAC-FE1D7D235585
Q2605268,Q19305384,2021-03-02,,,,statement/Q2605268-f4a8c87a-47a3-af19-507d-32786ee78390
Q2605861,Q19305384,1999-06-08,2007-06-12,,,statement/Q2605861-2E488BD9-2397-4A1C-9F18-4BEBB93C7C2F
Q2607655,Q19305384,2007-06-12,2011-06-07,,,statement/Q2607655-032BC4F6-4E36-4DE7-ACB7-2417A8C07390
Q2609978,Q19305384,2001-10-02,2019-06-11,,,statement/Q2609978-11C7659A-ECF1-4932-A5BD-CB572395C0D8
Q2612472,Q19305384,2011-06-07,2012-09-20,,,statement/Q2612472-EC230BF9-A170-4786-BBA8-08B1EBEE6DAA
Q2617000,Q19305384,1999-06-08,2007-06-12,,,statement/Q2617000-B372D86E-8E44-4D16-B184-E287E5752F32
Q26203749,Q19305384,2016-07-12,,,,statement/Q26203749-42473C17-2EDA-4DF0-8ECC-2EE03289271C
Q2637771,Q19305384,1999-06-08,2003-06-10,,,statement/Q2637771-1BF379D8-A1CB-4C2E-9460-B023B3642A79
Q2644986,Q19305384,2013-02-05,2015-06-09,,,statement/Q2644986-25F7A0AF-B253-460B-9C72-8B9A2844F57D
Q2648005,Q19305384,2009-09-22,2011-06-07,,,statement/Q2648005-2CD7500F-CB07-4290-AD7B-931B26A97052
